X1,X2,Y
600,40,469
600,40,469
750,40,512
750,40,512
900,40,554
900,40,554
900,20,559
600,20,472.9
900,20,559.29
600,60,463.86
900,60,545.7
537,40,451.61
962,40,568.01
750,11.71,517.08
750,68.28,501.33
750,40,511.7
900,40,567.34
1100,40,643.34
1300,40,670.1
900,40,555
1100,40,652.4
